Date,Aircraft type,Registration,Operator,Fatalities,Location,Damage,Manufacturer,Model,Year
2019-03-10,boeing 737 max 8,ET-AVJ,ethiopian airlines,157,Addis Ababa,write-off,boeing,737 max 8,2019
2019-03-11,de havilland canada cc-138 twin otter (dhc-6),13803,royal canadian air force,0,140 km N Inuvik,substantial,de havilland canada,cc-138 twin otter (dhc-6),2019
2019-03-12,beechcraft a100 king air,N945WS,golden wings aviation,0,Latrobe,substantial,beechcraft,a100 king air,2019
2019-03-14,cessna 650 citation iii,N220CM,rp sales and leasing,0,Orlando Sanford,substantial,cessna,650 citation iii,2019
2019-03-18,iai 1124 westwind,N4MH,sundance airport fbo,2,Oklahoma,write-off,iai,1124 westwind,2019
2019-03-18,bombardier bd-100-1a10 challenger 300,9M-TST,berjaya air,1,Kuala Lumpur,substantial,bombardier,bd-100-1a10 challenger 300,2019
2019-03-19,fokker 100,EP-IDG,iran air,0,Tehran,substantial,fokker,100,2019
2019-03-21,atr 72-500 (72-212a),TR-ABS,afrijet,0,São Tomé,substantial,atr,72-500 (72-212a),2019
2019-03-22,rockwell sabreliner 60,N990PA,private,0,Bajamar,write-off,rockwell sabreliner,60,2019
2019-03-23,airbus a320-232,HA-LPL,wizz air,0,Bristol,minor,airbus,a320-232,2019
2019-03-23,beechcraft b200 super king air,A2-MBM,major blue air,1,Matsieng Aerodrome,write-off,beechcraft,b200 super king air,2019
2019-03-27,boeing 737-7h4 (wl),N249WN,southwest airlines,0,Nashville,substantial,boeing,737-7h4 (wl),2019
2019-03-27,antonov an-2,CU-A1825,empresa nacional de servicios aéreos-ensa,0,Alonso de Rojas,substantial,antonov,an-2,2019
2019-04-03,airbus a320-214,G-EZWC,easyjet,0,Belfast,minor,airbus,a320-214,2019
2019-04-04,mcdonnell douglas md-88,N977DL,delta airlines,0,Atlanta,substantial,mcdonnell douglas,md-88,2019
2019-04-04,de havilland canada dhc-8-402q dash 8,OE-LGM,austrian airlines,0,Innsbruck,substantial,de havilland canada,dhc-8-402q dash 8,2019
2019-04-08,british aerospace 4100 jetstream 41,HI1038,sky high aviation services,0,Dominica Douglas,substantial,british aerospace,4100 jetstream 41,2019
2019-04-10,airbus a321-231 (wl),N114NN,american airlines,0,New York,substantial,airbus,a321-231 (wl),2019
2019-04-11,boeing 737-924er (wl),N31412,united airlines,0,Fort Myers,none,boeing,737-924er (wl),2019
2019-04-13,rockwell sabreliner 65,N265DS,classic aviation,3,New Albany,write-off,rockwell sabreliner,65,2019
2019-04-14,let l-410uvp-e20,9N-AMH,summit air,3,Lukla,write-off,let,l-410uvp-e20,2019
2019-04-16,bombardier bd-700-1a11 global 5000,14+01,luftwaffe,0,Berlin,substantial,bombardier,bd-700-1a11 global 5000,2019
2019-04-16,pilatus britten-norman bn-2b-27 islander,CC-CYR,archipiélagos servicios aéreos,6,Puerto Montt,write-off,britten-norman,bn-2b-27 islander,2019
2019-04-22,airbus a320-232 (wl),HS-TXK,thai smile,0,Sung Noen District,none,airbus,a320-232 (wl),2019
2019-04-22,antonov an-26,EY-322,asia airways,0,Khartoum,substantial,antonov,an-26,2019
2019-04-23,cessna 208 caravan i,N366TA,private,0,Dry Tortugas National Park,substantial,cessna,208 caravan i,2019
2019-04-24,beechcraft b200 super king air,C-FRMV,keewatin air,0,Gillam,substantial,beechcraft,b200 super king air,2019
2019-04-24,cessna 551 citation ii/sp,D-IADV,private,0,Siegen,substantial,cessna,551 citation ii/sp,2019
2019-04-30,boeing 737-33a (wl),G-GDFB,jet2,0,East Midlands,substantial,boeing,737-33a (wl),2019
2019-04-30,boeing 737-73s (wl),EI-SEV,ryanair,0,East Midlands,substantial,boeing,737-73s (wl),2019
2019-05-02,boeing 737-8gj (wl),HL8021,t'way air,0,Tokyo,none,boeing,737-8gj (wl),2019
2019-05-03,douglas c-47a-25-dk (dc-3c),C-GJKM,buffalo airways,0,Hay River,substantial,mcdonnell douglas,c-47a-25-dk (dc-3c),2019
2019-05-03,boeing 737-81q (wl),N732MA,miami air international,0,Jacksonville Naval Air Station,substantial,boeing,737-81q (wl),2019
2019-05-04,antonov an-2r,RA-01443,voskhod,0,Vyun,substantial,antonov,an-2r,2019
2019-05-04,learjet 45,C-GMCP,skyservice business aviation,0,Edinburgh,unknown,learjet,45,2019
2019-05-05,canadair cl-600-2b16 challenger 601-3a,N601VH,compañia de aviación y logística empresarial,13,Monclova,write-off,canadair,cl-600-2b16 challenger 601-3a,2019
